MSN,YYYYMM,Value,Column_Order,Description,Unit
CLNIBUS,194913,-0.869419,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195013,-0.777364,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195113,-1.674793,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195213,-1.395693,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195313,-0.974264,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195413,-0.905382,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195513,-1.456096,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195613,-1.975206,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195713,-2.164859,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195813,-1.408066,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,195913,-1.041806,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196013,-1.016619,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196113,-0.976516,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196213,-1.076907,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196313,-1.349597,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196413,-1.327836,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196513,-1.371886,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196613,-1.346184,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196713,-1.346694,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196813,-1.374767,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,196913,-1.531499,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197013,-1.9346,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197113,-1.543344,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197213,-1.529613,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197301,-0.079605,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197302,-0.071068,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197303,-0.092213,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197304,-0.136098,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197305,-0.138874,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197306,-0.133995,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197307,-0.111573,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197308,-0.138631,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197309,-0.091449,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197310,-0.158042,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197311,-0.139547,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197312,-0.130929,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197313,-1.422025,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197401,-0.073425,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197402,-0.119686,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197403,-0.084872,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197404,-0.131291,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197405,-0.161558,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197406,-0.16945,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197407,-0.140005,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197408,-0.125175,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197409,-0.128406,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197410,-0.191489,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197411,-0.174216,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197412,-0.068075,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197413,-1.567649,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197501,-0.111756,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197502,-0.116151,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197503,-0.146055,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197504,-0.163752,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197505,-0.184225,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197506,-0.167345,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197507,-0.126891,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197508,-0.153597,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197509,-0.121959,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197510,-0.124896,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197511,-0.201293,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197512,-0.119881,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197513,-1.7378,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197601,-0.096141,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197602,-0.078921,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197603,-0.105404,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197604,-0.152209,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197605,-0.150626,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197606,-0.171937,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197607,-0.130088,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197608,-0.111336,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197609,-0.150905,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197610,-0.154942,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197611,-0.142767,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197612,-0.121266,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197613,-1.566544,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197701,-0.0548,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197702,-0.080981,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197703,-0.090789,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197704,-0.145879,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197705,-0.150487,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197706,-0.158183,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197707,-0.135834,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197708,-0.112559,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197709,-0.131843,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197710,-0.124058,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197711,-0.116968,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197712,-0.09832,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197713,-1.4007,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197801,-0.02024,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197802,-0.01163,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197803,-0.004236,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197804,-0.058824,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197805,-0.110439,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197806,-0.136569,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197807,-0.08686,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197808,-0.090587,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197809,-0.086612,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197810,-0.12456,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197811,-0.157222,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197812,-0.116424,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197813,-1.004203,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197901,-0.091107,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197902,-0.066111,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197903,-0.120227,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197904,-0.135907,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197905,-0.162266,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197906,-0.153481,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197907,-0.165036,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,197908,-0.15791,1,Coal Net Imports,Quadrillion Btu
